barcode,brand,category,size
0033200197935,Arm & Hammer,"Дезодорант, антиперспирант",71 г
0044386119413,Physicians Formula,Тени для век,3.4 г
0077043002186,St.Ives,Гель для душа,473 мл
0077802116284,Wet N Wild,"Хайлайтер, скульптор",
0077802140623,Wet N Wild,Крем для лица,27 мл
0077802140630,Wet N Wild,Крем для лица,27 мл
0077802140678,Wet N Wild,Тени для век,
0077802163929,Wet N Wild,Тени для век,6 мл
0079625437362,Real Techniques,Кисти для макияжа,
0079625915532,Real Techniques,"Спонжи, губки, бьюти-блендеры",
0079625915662,Real Techniques,"Спонжи, губки, бьюти-блендеры",
0085805390402,Elizabeth Arden,"Парфюмерия, парфюмерные наборы",30 мл
0088300162505,Calvin Klein,"Парфюмерия, парфюмерные наборы",100 мл
0088300162543,Calvin Klein,"Парфюмерия, парфюмерные наборы",50 мл
0088300162567,Calvin Klein,"Парфюмерия, парфюмерные наборы",30 мл
0192608223315,Morphe,Кисти для макияжа,
0194251006833,NARS,Румяна,6 г
0194251132020,NARS,Румяна,7 мл
0194251132044,NARS,Румяна,7 мл
0194251132068,NARS,Румяна,7 мл
0194251146027,NARS,Румяна,7 мл
0197575027379,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0197575027393,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0197575027478,Victoria's Secret,Спрей для тела,250 мл
0309970060015,Revlon,Жидкая помада,5.9 мл
0602004123909,Benefit Cosmetics,Тушь для ресниц,9 г
0607845011545,NARS,Тинт для губ,5.7 мл
0607845051732,NARS,Бронзер,8 г
0607845052210,NARS,"Хайлайтер, скульптор",
0608940582206,Billie Eilish,"Парфюмерия, парфюмерные наборы",100 мл
0667547352285,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667552588815,Victoria's Secret,Спрей для тела,75 мл
0667552684494,Victoria's Secret,"Крем, молочко и лосьон для тела",250 мл
0667552691010,Victoria's Secret,Спрей для тела,250 мл
0667552691058,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667553699497,Victoria's Secret,"Парфюмерия, парфюмерные наборы",100 мл
0667554197251,Victoria's Secret,Спрей для тела,250 мл
0667554686670,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667555509886,Victoria's Secret,"Парфюмерия, парфюмерные наборы",100 мл
0667555509893,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667555541466,Victoria's Secret,Спрей для тела,250 мл
0667555755580,Victoria's Secret,Спрей для тела,75 мл
0667556407020,Victoria's Secret,"Парфюмерия, парфюмерные наборы",50 мл
0667556605020,Victoria's Secret,Спрей для тела,250 мл
0667556710267,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667557016146,Victoria's Secret,Парфюмерные наборы,
0667557269054,Victoria's Secret,Спрей для тела,75 мл
0667557292656,Bath&Body Works,Гель для душа,295 мл
0667557464381,Victoria's Secret,"Крем, молочко и лосьон для тела",250 мл
0667557476209,Victoria's Secret,"Крем, молочко и лосьон для тела",250 мл
0667557476230,Victoria's Secret,Спрей для тела,250 мл
0667557476247,Victoria's Secret,"Крем, молочко и лосьон для тела",250 мл
0667557597041,Victoria's Secret,Спрей для тела,250 мл
0667557597058,Victoria's Secret,"Крем, молочко и лосьон для тела",236 мл
0667557597065,Victoria's Secret,Гель для душа,236 мл
